nh4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0487,0.0528,0.0446,0.0558,0.0533,0.0549,0.0562,0.0529,0.0564,0.0528,0.0526,0.0493
B,0.0556,0.0555,0.0451,0.054,0.0567,0.0547,0.0568,0.0516,0.0556,0.0548,0.059,0.0552
C,0.0593,0.0578,0.0489,0.0542,0.0551,0.0581,0.0554,0.0553,0.0639,0.0551,0.0556,0.0573
D,0.0633,0.0671,0.0455,0.0536,0.0568,0.0558,0.0439,0.056,0.0553,0.0617,0.0562,0.0563
E,0.0839,0.0797,0.0474,0.0543,0.0571,0.0367,0.0527,0.043,0.0558,0.0577,0.0575,0.0582
F,0.1194,0.1004,0.0478,0.0582,0.0514,0.0574,0.0501,0.0637,0.0465,0.0499,0.053,0.0507
G,0.1419,0.1699,0.0459,0.043,0.0444,0.049,0.0475,0.0514,0.0488,0.0511,0.0511,0.0481
H,0.1956,0.2444,0.0442,0.0443,0.0519,0.0454,0.0454,0.0453,0.0457,0.0456,0.046,0.0451
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,2,3,4,5,6,7,8,9
B,,,,10,11,12,13,14,15,16,17,18
C,,,,19,20,21,22,23,24,25,26,27
D,,,,28,29,30,31,32,33,34,35,36
E,,,,37,38,39,40,41,42,43,44,45
F,,,,46,47,48,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,0.5,0.5,,,,,,,,,,
D,1,1,,,,,,,,,,
E,2.5,2.5,,,,,,,,,,
F,5,5,,,,,,,,,,
G,10,10,,,,,,,,,,
H,20,20,,,,,,,,,,
