po4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0492,0.0528,0.0426,0.0533,0.0601,0.054,0.0596,0.0588,0.0544,0.0527,0.0516,0.0513
B,0.0517,0.0537,0.0437,0.0588,0.0534,0.059,0.0539,0.0535,0.0532,0.0603,0.0656,0.054
C,0.0498,0.06,0.0439,0.0534,0.0535,0.0642,0.0532,0.0532,0.0619,0.0528,0.0529,0.0582
D,0.0681,0.067,0.0438,0.0589,0.0533,0.0535,0.0613,0.0538,0.0532,0.0612,0.053,0.053
E,0.0907,0.0915,0.0438,0.0539,0.0539,0.0535,0.0536,0.0532,0.0528,0.053,0.0525,0.0668
F,0.123,0.1358,0.0434,0.067,0.0613,0.053,0.0434,0.0439,0.0438,0.0451,0.0432,0.0437
G,0.2222,0.1973,0.0432,0.0435,0.044,0.044,0.0433,0.0442,0.0436,0.044,0.0431,0.0435
H,0.0494,0.0531,0.0433,0.0426,0.0441,0.0441,0.0434,0.0426,0.044,0.0438,0.0431,0.0418
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,2,3,4,5,6,7,8,9
B,,,,10,11,12,13,14,15,16,17,18
C,,,,19,20,21,22,23,24,25,26,27
D,,,,28,29,30,31,32,33,34,35,36
E,,,,38,37,39,40,41,42,43,44,45
F,,,,46,47,48,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,0.5,0.5,,,,,,,,,,
D,1,1,,,,,,,,,,
E,2.5,2.5,,,,,,,,,,
F,5,5,,,,,,,,,,
G,10,10,,,,,,,,,,
H,0.05,0.05,,,,,,,,,,
