no2_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0371,0.0382,0.0459,0.0387,0.039,0.0465,0.039,0.0403,0.0403,0.0408,0.0398,0.0406
B,0.0377,0.0386,0.0467,0.0384,0.0383,0.0468,0.0429,0.0415,0.0432,0.0415,0.0429,0.0425
C,0.042,0.0436,0.047,0.0386,0.0381,0.0469,0.0422,0.0416,0.0423,0.0415,0.0416,0.0412
D,0.0381,0.039,0.0471,0.0391,0.0391,0.0472,0.0398,0.0405,0.0415,0.0425,0.0407,0.0407
E,0.0616,0.0635,0.0471,0.0387,0.0387,0.0472,0.0414,0.0409,0.0415,0.042,0.041,0.0412
F,0.2659,0.2659,0.0473,0.0389,0.0386,0.0467,0.042,0.0418,0.0431,0.0409,0.0419,0.0425
G,0.4422,0.5589,0.047,0.0392,0.0417,0.0473,0.0417,0.0427,0.041,0.0427,0.0416,0.0408
H,1.0745,1.0902,0.047,0.0383,0.0388,0.0467,0.0419,0.0412,0.0408,0.0406,0.0408,0.0411
,,,,,,,,,,,,
no2no3_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0838,0.062,0.0459,0.0831,0.0847,0.0463, ,0.0892,0.0583,0.0729,0.0469,0.0722
B,0.0804,0.0826,0.0466,0.0747,0.0745,0.0469,0.115,0.0716,0.1107,0.074,0.0738,0.1074
C,0.1078,0.0931,0.047,0.0978,0.0977,0.0469,0.1083,0.0966,0.1145,0.0744,0.0911,0.0891
D,0.1044,0.1076,0.0471,0.0799,0.0984,0.0472,0.0691,0.0717,0.0721,0.1087,0.0727,0.0662
E,0.1283,0.128,0.0471,0.1596,0.1526,0.0472,0.0741,0.0697,0.0829,0.119,0.0801,0.0665
F,0.3099,0.3124,0.0473,0.2356,0.244,0.0467,0.0789,0.0735,0.081,0.0704,0.0824,0.0746
G,0.5391,0.6077,0.0469,0.288,0.3672,0.0474,0.0783,0.0858,0.0727,0.0821,0.082,0.0737
H,1.0231,1.0493,0.0469,0.5428,0.6227,0.0468,0.0764,0.0768,0.0734,0.0776,0.0751,0.0823
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,38,37,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,1,1,,,,,,,,,,
D,2.5,2.5,,,,,,,,,,
E,5,5,,,,,,,,,,
F,10,10,,,,,,,,,,
G,20,20,,,,,,,,,,
H,40,40,,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,,,,,,,
B,,,,0.1,0.1,,,,,,,
C,,,,1,1,,,,,,,
D,,,,2.5,2.5,,,,,,,
E,,,,5,5,,,,,,,
F,,,,10,10,,,,,,,
G,,,,20,20,,,,,,,
H,,,,40,40,,,,,,,
