no2_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.0389,0.046,0.0386,0.0392,0.0463,0.0424,0.0397,0.0395,0.0454,0.0387,0.0391
B,0.0373,0.0389,0.0466,0.0387,0.0388,0.0468,0.0416,0.0406,0.0422,0.0405,0.0424,0.0423
C,0.0422,0.0437,0.0469,0.0388,0.0388,0.0468,0.0425,0.0418,0.0428,0.0415,0.0418,0.0417
D,0.0389,0.039,0.0472,0.0391,0.0388,0.0471,0.0414,0.0412,0.0412,0.0419,0.04,0.0414
E,0.0625,0.0636,0.0471,0.0389,0.0388,0.0471,0.041,0.0417,0.046,0.0424,0.041,0.0414
F,0.268,0.2533,0.0473,0.0393,0.0385,0.0467,0.0409,0.0417,0.0427,0.0407,0.0414,0.0428
G,0.5592,0.5561,0.0469,0.0392,0.0397,0.0473,0.0421,0.0426,0.0413,0.0432,0.042,0.0413
H,1.0982,1.0703,0.0469,0.0382,0.0385,0.0468,0.0423,0.0407,0.0404,0.0404,0.0408,0.0419
,,,,,,,,,,,,
no2no3_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0869,0.0694,0.0459,0.0807,0.0802,0.0651,0.0806,0.0729,0.0707,0.0829,0.0687,0.0696
B,0.0642,0.0781,0.0466,0.0821,0.0742,0.1331,0.1173,0.0768,0.1132,0.0725,0.0745,0.11
C,0.0897,0.0941,0.047,0.086,0.0937,0.0467,0.1078,0.1017,0.1219,0.0725,0.0953,0.0826
D,0.1027,0.1061,0.0471,0.0893,0.0825,0.1249,0.0643,0.064,0.0725,0.1088,0.0739,0.0675
E,0.1273,0.1309,0.047,0.17,0.1611,0.0471,0.0734,0.0626,0.085,0.1382,0.0839,0.0817
F,0.3104,0.2943,0.0473,0.2142,0.235,0.0466,0.0774,0.0752,0.0807,0.0726,0.0825,0.0762
G,0.6104,0.6015,0.0469,0.3481,0.3627,0.0473,0.0849,0.0741,0.0766,0.087,0.0876,0.0775
H,1.0509,1.032,0.0472,0.5964,0.663,0.053,0.0819,0.0787,0.0735,0.0663,0.0659,0.0763
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,1,1,,,,,,,,,,
D,2.5,2.5,,,,,,,,,,
E,5,5,,,,,,,,,,
F,10,10,,,,,,,,,,
G,20,20,,,,,,,,,,
H,40,40,,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,,,,,,,
B,,,,0.1,0.1,,,,,,,
C,,,,1,1,,,,,,,
D,,,,2.5,2.5,,,,,,,
E,,,,5,5,,,,,,,
F,,,,10,10,,,,,,,
G,,,,20,20,,,,,,,
H,,,,40,40,,,,,,,
