nh4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0456,0.0492,0.0453,0.0559,0.0532,0.0505,0.0516,0.0523,0.0517,0.0453,0.045,0.0452
B,0.0506,0.0535,0.0453,0.0543,0.0539,0.0542,0.0527,0.0527,0.0522,0.0454,0.045,0.0453
C,0.0559,0.0565,0.0453,0.0519,0.0558,0.0535,0.0541,0.0546,0.0485,0.0452,0.0448,0.045
D,0.064,0.0632,0.0453,0.0568,0.0533,0.0532,0.0517,0.0515,0.0523,0.0475,0.045,0.0452
E,0.0896,0.1885,0.0453,0.0549,0.053,0.054,0.0518,0.0544,0.0526,0.0453,0.0466,0.0453
F,0.1759,0.184,0.0453,0.0535,0.0526,0.0557,0.0543,0.0557,0.052,0.0452,0.0452,0.0453
G,0.232,0.2796,0.0804,0.0569,0.0538,0.0529,0.0563,0.0522,0.0587,0.0454,0.0454,0.0452
H,0.496,0.5357,0.0956,0.0542,0.0501,0.0523,0.0527,0.053,0.0569,0.0451,0.0453,0.0444
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,9,17,25,33,41,,,
B,,,,2,10,18,26,34,42,,,
C,,,,3,11,19,27,35,43,,,
D,,,,4,12,20,28,36,44,,,
E,,,,5,13,21,29,37,45,,,
F,,,,6,14,22,30,38,46,,,
G,,,,7,15,23,31,39,47,,,
H,,,,8,16,24,32,40,48,,,
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.05,0.05,,,,,,,,,,
C,0.1,0.1,,,,,,,,,,
D,1,1,,,,,,,,,,
E,5,5,,,,,,,,,,
F,10,10,,,,,,,,,,
G,20,20,,,,,,,,,,
H,40,40,,,,,,,,,,
